=== WEEKLY BREAKDOWN ===
Week,Season,Date_Processed,Highest_Scorer,Highest_Score,Second_Highest,Second_Score,Third_Highest,Third_Score,Lowest_Scorer,Lowest_Score,No_Picks,Perfect_Week,Perfect_Week_Count
1,2025,2025-09-09T12:40:13.193121,kvstabla,9.0,PSekhar7,8.0,"kushminzada, RStrype",7.0,nalaknas,1.0,hugebeast1999,,0
2,2025,2025-09-09T12:37:59.169769,,0.0,,,,,,0.0,"nalaknas, shreykap, dirtypoonjabi, ansh31, Jaysterseason, scooty11, abhia, navinp, PSekhar7, rroy820, arjunkrishnan, benbrowndorf, kushminzada, RStrype, vpaul, BCIB, mikek8, adibembs, jonk15, rushp12345, BntObrn, TheGiver69, sowryav, Pranjal99, skumar17, crazylook3, sbalyan, janakshah, akulagar, tuanfinitynbeyond, josephdicicco, kvstabla, tylersportslover, patelvishnu902, hugebeast1999",,0


=== SEASON SCORES ===
User_ID,Display_Name,Week_1_Score,Week_1_Rank,Week_2_Score,Week_2_Rank,Total_Score,Total_Wins,Perfect_Weeks
1000822606448156672,patelvishnu902,,,0,No Picks,0.0,0,0
1004072320345923584,jonk15,,,0,No Picks,0.0,0,0
1005271556681232384,kvstabla,9.0,1st,0,No Picks,99.0,11,0
1005301584701521920,RStrype,7.0,3rd,0,No Picks,77.0,0,0
1005301970434940928,benbrowndorf,,,0,No Picks,0.0,0,0
1022238772861173760,TheGiver69,,,0,No Picks,0.0,0,0
1125900327032598528,kushminzada,7.0,3rd,0,No Picks,77.0,0,0
1132863700278472704,crazylook3,,,0,No Picks,0.0,0,0
1264290350940303360,vpaul,,,0,No Picks,0.0,0,0
1266525438008635392,skumar17,,,0,No Picks,0.0,0,0
1267274998884597761,mikek8,,,0,No Picks,0.0,0,0
1267968626674106368,BntObrn,,,0,No Picks,0.0,0,0
1268717295987859456,sbalyan,,,0,No Picks,0.0,0,0
1268736003586146304,akulagar,,,0,No Picks,0.0,0,0
1268976949267546112,tuanfinitynbeyond,,,0,No Picks,0.0,0,0
1269278657013100544,josephdicicco,,,0,No Picks,0.0,0,0
1269350557387075584,tylersportslover,,,0,No Picks,0.0,0,0
1270203937265287168,hugebeast1999,0,No Picks,0,No Picks,0.0,0,0
469912783350132736,shreykap,,,0,No Picks,0.0,0,0
476061516697694208,adibembs,,,0,No Picks,0.0,0,0
712350580550471680,dirtypoonjabi,,,0,No Picks,0.0,0,0
732373454870937600,ansh31,,,0,No Picks,0.0,0,0
737872397943951360,Pranjal99,,,0,No Picks,0.0,0,0
859884422164525056,janakshah,,,0,No Picks,0.0,0,0
865061949451403264,nalaknas,1.0,Last,0,No Picks,11.0,0,0
869826033292107776,Jaysterseason,,,0,No Picks,0.0,0,0
869828424313806848,scooty11,,,0,No Picks,0.0,0,0
869966996937306112,abhia,,,0,No Picks,0.0,0,0
870871224618766336,navinp,,,0,No Picks,0.0,0,0
872372643964309504,rushp12345,,,0,No Picks,0.0,0,0
995474843778834432,sowryav,,,0,No Picks,0.0,0,0
997251019148951552,PSekhar7,8.0,2nd,0,No Picks,88.0,0,0
998356905544261632,rroy820,,,0,No Picks,0.0,0,0
998358619718594560,arjunkrishnan,,,0,No Picks,0.0,0,0
999732708634857472,BCIB,,,0,No Picks,0.0,0,0
